epoch,train_mse,val_mse,val_r2
1,55827652519625.2,989705.1664774969,-0.008715818439253287
2,55827641250410.98,989022.9311218262,-0.008036512448657662
3,55827624858278.6,987712.9288529616,-0.006724051088792704
4,55827607421332.11,985935.0665124747,-0.004944420703537844
5,55827580482636.68,983836.6262711745,-0.002846504450338516
6,55827531335388.695,981670.9350891113,-0.0006816584091884348
7,55827460057581.414,976366.4291757437,0.004578844233722235
8,55827381891781.1,969964.0092773438,0.010931659210848377
9,55827249427515.05,963367.359954834,0.017399189289860284
10,55827065876772.27,953771.4644611066,0.02688859314363612
11,55826851746344.04,942183.7383945172,0.03832744514478037
12,55826560679908.8,930269.5457317645,0.05012071126936446
13,55826203607663.625,916422.9703815167,0.06399374812165426
14,55825767780831.82,902148.6280893179,0.07822345700504141
15,55825222125564.94,885993.1629685622,0.09448369257735079
16,55824581078388.27,866365.5057185247,0.11417893751102581
17,55823801617363.44,850462.0563870943,0.1302311849421114
18,55822921434312.47,837811.2625450721,0.14320533932521284
19,55821851687894.375,812177.0836181641,0.16926655542622082
20,55820641354844.19,791794.3401442308,0.19003349158079763
21,55819158297415.32,785121.1307842548,0.1978232667300167
22,55817749165050.3,754737.2943584735,0.2286625176152467
23,55815788856575.43,739898.335561899,0.24435495757812908
24,55813768283876.14,726204.4524113581,0.2600714411686219
25,55811479576230.53,723144.2236703726,0.26537667360811457
26,55809202037810.99,709229.9885817308,0.28163827163261335
27,55806223526691.805,707067.1379206731,0.28553269567639805
28,55803213198980.44,728400.5833834135,0.27057405175579385
29,55799818765731.15,766188.5531850961,0.24007647077089644
30,55796476377628.164,779884.9073016827,0.232777931388493
31,55792243478605.76,858981.4870793269,0.16556678176201156
32,55787877606067.66,975012.8034855769,0.06681377579825165
33,55783829363918.48,979611.5474759615,0.06321427760811038
34,55778362932854.18,1140051.8725961538,-0.07436304437261687
35,55772991583506.84,1248530.7475961538,-0.16784192960281752
36,55767147202210.89,1530146.592548077,-0.4094868150868036
37,55761033579579.164,1699907.344951923,-0.5569819198270016
38,55754166960847.28,2095834.3713942308,-0.8990664907035442
39,55747021627386.02,2367486.4579326925,-1.13571631159423
40,55739487667144.695,2907445.2259615385,-1.6075542977313169
41,55733125522414.96,3150470.9759615385,-1.8313643517351457
42,55723446398551.07,3691459.173076923,-2.297027444936575
43,55714333488192.086,4891691.689903846,-3.3484452878068174
44,55704827249281.02,5354376.942307692,-3.7498575610742
45,55696205265391.52,5598644.211538462,-3.995508666356095
46,55684255461953.6,7111968.014423077,-5.293159749409482
47,55673523587190.62,7428427.379807692,-5.626331607883455
48,55661396023044.51,9975160.798076924,-7.805168848234429
49,55650045980841.22,10632095.802884616,-8.421311319865312
50,55635677485484.26,12743122.317307692,-10.263327703852944
51,55622412776339.85,14504342.350961538,-11.856661343608057
52,55607752941989.11,15790460.826923076,-13.006855908083914
53,55592681838824.38,18999199.067307692,-15.803662322188103
54,55578284441788.28,19548780.625,-16.35439030436431
55,55561437799510.77,20734630.019230768,-17.47604227142734
56,55544246903805.49,23322257.355769232,-19.742177866911184
57,55527281450718.27,25864210.980769232,-21.986461577483364
58,55508659230496.78,27815877.519230768,-23.736604249868815
59,55489943508279.625,31422490.076923076,-26.85049605836569
60,55469772382373.086,33884453.384615384,-29.01602926943496
61,55453407932248.54,36113488.711538464,-31.169601955522424
62,55428307528198.836,39868557.807692304,-34.36367105807334
63,55406443770240.86,43262770.288461536,-37.37245223202015
64,55383733593749.86,46426980.211538464,-40.15099380157229
65,55359863225632.586,48119467.538461536,-41.736591836571726
66,55335708377920.164,49610410.76923077,-43.19679001826631
67,55310246382471.35,58092020.192307696,-50.42965267326954
68,55284272515709.73,57657055.23076923,-50.20515417495292
